,BGGId,Name,ImagePath
55,59,Giganten (1999),https://cf.geekdo-images.com/xiJmbkTIlaBidfWsewdrdg__original/img/HK4fOXCCLay0A4YVqXO_l0zZOeo=/0x0/filters:format(jpeg)/pic431734.jpg
56,60,Vinci (1999),https://cf.geekdo-images.com/16rNX4_Zj2nUtfKP7d1Wxw__original/img/tMG5f6Jgt1XKTXbHnFWJrWFpzo8=/0x0/filters:format(jpeg)/pic168171.jpg
61,66,Löwenherz (1997),https://cf.geekdo-images.com/qsiGPdi9ktEKj3rU8HcAog__original/img/LoxqSRScweTL2i0niuaNolPn8hI=/0x0/filters:format(jpeg)/pic582814.jpg
65,70,Big City (1999),https://cf.geekdo-images.com/LkPdT03ObmWklCB8S3DZfw__original/img/tOLxwWWirwmmZ5fYgh2wJ7c6MqA=/0x0/filters:format(jpeg)/pic1043072.jpg
66,71,Civilization (1980),https://cf.geekdo-images.com/YnRVKSq3NrLKVGPNzcYvqg__original/img/DVfIjAcXRotFftj6yPOc7KKYXNA=/0x0/filters:format(jpeg)/pic374847.jpg
67,72,Verräter (1998),https://cf.geekdo-images.com/0czKv-oPkqJri0VU0EZyAw__original/img/_RC6HgACmqqYqASo7PGm-wS8oc4=/0x0/filters:format(jpeg)/pic172332.jpg
68,73,Show Manager (1996),https://cf.geekdo-images.com/WHjeQ11i9CxHvne1FryFZw__original/img/UnZaUiOTz0qSVB5dAbPLtP10aWM=/0x0/filters:format(png)/pic3717385.png
69,74,Apples to Apples (1999),https://cf.geekdo-images.com/S5GzB_f2Re3kEDoSxqG5Ew__original/img/K49MN0Ij_tZOgDK4znCUJGu6aU4=/0x0/filters:format(jpeg)/pic213515.jpg
70,75,Falling (1998),https://cf.geekdo-images.com/BU7RlhGtYA98hIDC2saPcg__original/img/5If9_SBaqB7j6dshJyrBY--eIQ8=/0x0/filters:format(jpeg)/pic5305220.jpg
77,84,Rommel in the Desert (1982),https://cf.geekdo-images.com/1aI4VpQErVusKbGTfGTi9Q__original/img/Wk1w2pKOvcdeHmaRaHW_3OVk_nM=/0x0/filters:format(jpeg)/pic239376.jpg
